
2026-09-25 12:51:47.297108,naukri,Full Stack Developer | Leading IT Co.,Leading Client,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.297410,naukri,Full Stack Developer | Leading IT Co.,Leading Client,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.297748,naukri,Full Stack Developer | Leading IT Co.,Leading Client,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.298016,naukri,Full Stack Developer | Leading IT Co.,Leading Client,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.298241,naukri,Software Engineer - Java,Veersa Technologies India,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.298545,naukri,Software Developer,MATT Engineering Equipment,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.298823,naukri,Java Back End Developer,Wissen Technology,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:51:47.299075,naukri,Web3 Developer,Innocode Ventures,skipped,title doesn't match role keywords (Java Backend Developer)
2026-09-25 12:52:04.260326,naukri,Java Developer,A leading co.,applied,
2026-09-25 12:52:36.792770,naukri,Java Developer,Ziroh Labs,skipped,external apply
2026-09-25 12:52:39.319736,naukri,Java Developer,MUFG Bank,skipped,external apply
2026-09-25 12:52:41.895207,naukri,Java Developer,Approzo,skipped,external apply
2026-09-25 12:52:55.085373,naukri,Java Developer,Shashwath Solution,applied,
2026-09-25 12:53:25.087390,naukri,Java React Developer (2-3 yrs) @ Infosys,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:53:25.091445,naukri,Java React Developer (2-3yrs) @ Infosys,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:53:38.336528,naukri,Java Developer,Indian Register of Shipping,applied,
2026-09-25 12:54:21.552065,naukri,Java Developer,Shashwath Solution,applied,
2026-09-25 12:54:51.553563,naukri,Java React Developer,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:55:04.781640,naukri,Java Developer,Sightspectrum,applied,
2026-09-25 12:55:48.087011,naukri,Java Developer,Shashwath Solution,applied,
2026-09-25 12:56:18.088137,naukri,Java GHCP Developer,Birlasoft,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:56:31.331005,naukri,Java Developer,Sightspectrum,applied,
2026-09-25 12:57:01.332783,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:57:01.333563,naukri,Software Engineer,Hackajob,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:57:14.456372,naukri,Java Developer,Satin Creditcare Network,applied,
2026-09-25 12:57:44.457695,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:57:44.458683,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:21.934048,naukri,Enovia Java Developer (3DEXPERIENCE),Contevolve,applied,
2026-09-25 12:59:55.521810,naukri,Developer,Iflowtech Solutions,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.523632,naukri,Developer,Iflowtech Solutions,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.525003,naukri,Java Springboot Microservices @ Infosys,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.526869,naukri,Java Full Stack developer(Reactjs ),Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.528457,naukri,Java Springboot Microservices (2-3yrs) @ Infosys,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.530302,naukri,Java Full Stack Developer,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.531914,naukri,Java Full Stack Developer,Infosys,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.535065,naukri,Developer,Iflowtech Solutions,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.537286,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.539595,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
2026-09-25 12:59:55.541640,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (Java Developer)
